code;German;French;Italian
G.4.1.F;Stationäre Behandlungen wegen HD Brustkrebs;Traitements hospitaliers en cas de DP cancer du sein;Cure ospedaliere in caso di DP cancro al seno
G.4.2.F;HD bösartige Neubildungen der Mamma und weiblichen Geschlechtsorgane;DP tumeurs malignes du sein et des organes génitaux féminins;DP tumori maligni della mammella e degli organi genitali femminili
G.4.3.F;Stationäre Behandlungen wegen HD bösartige Neubildungen der Ovarien;Traitements hospitaliers en cas de DP tumeurs malignes des ovaires;Cure ospedaliere in caso di DP tumori maligni delle ovaie
G.4.5.F;Stationäre Behandlungen wegen HD bösartige Neubildungen des Uterus;Traitements hospitaliers en cas de DP tumeurs malignes de l'utérus;Cure ospedaliere in caso di DP tumori maligni dell'utero
G.5.1.F;Eingriffe an der Brust insgesamt (Mammaresektionen und ­plastiken);Total des interventions sur le sein (résections et plasties mammaires);Interventi al seno (resezioni e plastiche mammarie), totale
G.5.2.F;Resektionen der Mamma bei Brustkrebs;Résections mammaires en cas de cancer du sein;Resezione mammaria in caso di cancro al seno
G.6.1.F;Suspensions-OP und Plastiken im Bereich des Beckenbodens insgesamt;Total des OP de suspension et plasties du plancher pelvien;OP di sospensione e plastiche nella regione del pavimento pelvico, totale
G.6.2.F;OP bei Genitalprolaps;OP en cas de prolapsus génital;OP per prolasso genitale
G.6.3.F;OP bei Inkontinenz, ohne Genitalprolaps;OP en cas d'incontinence, sans prolapsus génital;OP per incontinenza, senza prolasso genitale
G.6.4.F;OP im Bereich des Beckenbodens bei anderer Diagnose;Interventions sur le plancher pelvien pour autre diagnostic;OP nella regione del pavimento pelvico per altra diagnosi
H.2.1.F;HD Nierensteine;DP calculs rénaux;DP calcoli ai reni
H.3.1.F;HD Malignom der Blase;DP tumeur maligne de la vessie;DP tumore maligno alla vescica
H.3.2.F;TUR der Blase insgesamt;Total des RTU de vessie;TUR della vescica, totale
H.3.3.F;TUR der Blase bei Malignom;RTU de vessie en cas de tumeur maligne;TUR della vescica in caso di tumore maligno
H.5.1.F;HD Prostatakarzinom;DP carcinome de la prostate;DP carcinoma prostatico
I.2.16.F;Lokale Schmerztherapie an der Wirbelsäule, ohne OP an der Wirbelsäule;Traitement local des douleurs de la colonne vertébrale, sans OP de la colonne vertébrale;Terapia locale del dolore alla colonna vertebrale, senza OP alla colonna vertebrale
I.2.17.F;Stationäre Behandlungen bei HD Erkrankung der Wirbelsäule, ohne OP oder lokale Schmerztherapie an der Wirbelsäule;Traitements hospitaliers en cas de DP maladies de la colonne vertébrale, sans OP ou traitement local des douleurs de la colonne;Cure ospedaliere in caso di DP malattia della colonna vertebrale, senza OP o terapia locale del dolore alla colonna vertebrale
I.2.3.F;OP an der Wirbelsäule und am Rückenmark, ohne isolierte lokale Schmerztherapie;OP de la colonne vertébrale et de la moelle épinière, sans traitement local des douleurs isolé;OP alla colonna vertebrale e al midollo spinale, senza terapia locale del dolore isolata
I.2.4.F;OP am Rückenmark/Spinalkanal, ohne isolierte lokale Schmerztherapie;OP de la moelle épinière/du canal rachidien, sans traitement local des douleurs isolé;OP al midollo spinale/canale vertebrale, senza terapia locale del dolore isolata
I.3.22.F;Versorgung bei hüftgelenknaher Fraktur gemäss G-BA Richtlinie (Alter >17);Traitement en cas de fracture métaphysaire de la hanche selon la directive du G-BA (âge >17);Trattamento in caso di frattura vicino all'articolazione dell'anca secondo le direttive del Gemeinsamer Bundesausschuss (G-BA) (età >17)
I.4.1.F;HD bösartige Neubildungen von Knochen, Gelenkknorpel, peripheren Nerven, Retroperitoneum, Bindegewebe, Weichteilen;DP tumeurs malignes des os, du cartilage articulaire, des nerfs périphériques, du rétropéritoine, du tissu conjonctif, des tissus mous;DP tumori maligni delle ossa, della cartilagine articolare, dei nervi periferici, del retroperitoneo, del tessuto connettivo e dei tessuti molli
I.5.1.F;Endoprothese am Schulter-/Ellenbogengelenk;Endoprothèse à l’articulation de l’épaule/du coude;Endoprotesi all'articolazione della spalla/del gomito
I.6.1.F;Polytrauma im Sinne der DRG-Definition;Traumatisme multiple au sens de la définition DRG;Politrauma ai sensi della definizione DRG
J.1.7.F;ECMO-Lungenunterstützung;Assistance pulmonaire ECMO;Assistenza respiratoria ECMO
J.1.8.F;ECLS/ECMO-Herz-/Herz-Lungenunterstützung;Assistance cardio/cardio-pulmonaire ECLS/ECMO;Assistenza cardiaca/cardiopolmonare ECLS/ECMO
J.3.2.F;Patienten mit angeborenen Gerinnungsstörungen;Patients avec des troubles congénitaux de la coagulation;Pazienti con disturbi della coagulazione congeniti
J.3.3.F;Operierte Patienten mit angeborenen Gerinnungsstörungen;Patients opérés avec des troubles congénitaux de la coagulation;Pazienti operati con disturbi della coagulazione congeniti
K.1.1.F;Stationäre Behandlungen wegen HD Melanom;Traitements hospitaliers en cas de DP mélanome;Cure ospedaliere in caso di DP melanoma
K.1.2.F;Stationäre Behandlungen wegen HD Dermatitis und Ekzem;Traitements hospitaliers en cas de DP dermatoses et eczémas;Cure ospedaliere in caso di DP dermatite ed eczema
K.1.3.F;Stationäre Behandlungen wegen HD Psoriasis;Traitements hospitaliers en cas de DP psoriasis;Cure ospedaliere in caso di DP psoriasi
L.1.1.F;Herz­ und Herz­Lungen­Transplantation insgesamt;Total des transplantations cardiaques et transplantations combinées cœur­poumons;Trapianti di cuore e trapianti combinati cuore­polmone, totale
L.1.2.F;Herz­Lungen­Transplantation;Transplantation combinée cœur­poumons;Trapianto combinato cuore­polmone
L.1.3.F;Herztransplantation;Transplantation cardiaque;Trapianto di cuore
L.2.1.F;Lungen­ und Herz­Lungen­Transplantation insgesamt;Total des transplantations pulmonaires et transplantations combinées cœur­poumons;Trapianti di polmone e trapianti combinati cuore­polmone, totale
L.2.2.F;Lungentransplantation;Transplantation pulmonaire;Trapianto di polmone
L.3.1.F;Lebertransplantation insgesamt;Total des transplantations hépatiques;Trapianti di fegato, totale
L.3.2.F;Lebertransplantation, komplett;Transplantation hépatique, foie entier;Trapianto di fegato, organo intero
L.3.3.F;Lebertransplantation, partiell/auxiliär/andere;Transplantation hépatique, foie partiel/auxiliaire/autre;Trapianto di fegato parziale/ausiliario/altro
L.3.4.F;Leber­Retransplantation im gleichen Aufenthalt, alle Formen;Retransplantation de foie durant la même hospitalisation, toutes les formes;Ritrapianto di fegato nella stessa degenza ospedaliera, tutte le forme
L.4.1.F;Transplantation von Pankreas oder ­gewebe insgesamt;Total des transplantations du pancréas ou de tissu pancréatique;Trapienti di pancreas o di tessuto pancreatico, totale
L.5.1.F;Nierentransplantation insgesamt;Total des transplantations rénales;Trapianti di rene, totale
L.5.2.F;Nierentransplantation, Lebendspender allogen, syngen;Transplantation rénale, donneur vivant allogénique, syngénique;Trapianto di rene da donatore vivente allogenico, singenico
L.5.3.F;Nierentransplantation, allogen, Leichenniere;Transplantation rénale, allogénique, rein d'un cadavre;Trapianto di rene, allogenico, rene da un cadavere
L.5.4.F;Nierentransplantation, Autotransplantation und andere;Transplantation rénale, autogreffe et autre;Trapianto di rene, autotrapianto e altro
L.5.5.F;Kombinierte Transplantation von Niere und Pankreas;Transplantation combinée de rein et pancréas;Trapianto combinato di rene e pancreas
L.5.6.F;Nieren-Retransplantation während desselben stationären Aufenthaltes;Retransplantation rénale durant la même hospitalisation;Ritrapianto di rene nella stessa degenza ospedaliera
L.6.1.F;Transplantation oder Transfusion von hämatopoetischen Stammzellen insgesamt;Total des transplantations ou transfusions de cellules souches hématopoïétiques;Trapianti o trasfusioni di cellule staminali ematopoietiche, totale
L.6.2.F;Transplantation von hämatopoetischen Stammzellen aus Knochenmark insgesamt;Total des transplantations de cellules souches hématopoïétiques de moelle osseuse;Trapianti di cellule staminali ematopoietiche di midollo osseo, totale
L.6.3.F;Transplantation von hämatopoetischen Stammzellen aus Knochenmark, autogen;Transplantation de cellules souches hématopoïétiques de moelle osseuse, autogène;Trapianto di cellule staminali ematopoietiche di midollo osseo, autogeno
L.6.4.F;Transfusion von peripheren hämatopoetischen Stammzellen;Transfusion de cellules souches hématopoïétiques périphériques;Trasfusione di cellule staminali ematopoietiche periferiche
L.6.5.F;Transfusion von peripheren hämatopoetischen Stammzellen, autogen;Transfusion de cellules souches hématopoïétiques périphériques, autogène;Trasfusione di cellule staminali ematopoietiche periferiche, autogeno
L.6.8.F;Andere Stammzelltherapien;Autres thérapies de cellules souches;Altre terapie con cellule staminali
L.7.1.F;Hypertherme intraperitoneale Chemotherapie [HIPEC];Chimiothérapie intrapéritonéale hyperthermique [HIPEC];Chemioipertermia intraperitoneale [HIPEC]
L.7.2.F;Hypertherme intrathorakale Chemotherapie [HITOC];Chimiothérapie hyperthermique intrathoracique [HITOC];Chemioipertermia intratoracica [HITOC]
M.1.1.F;Palliativmedizinische Komplexbehandlung;Traitement complexe de médecine palliative;Trattamento medico palliativo complesso
M.1.2.F;Palliativmedizinische Komplexbehandlung durch Palliativ-Dienst (intern und extern);Traitement complexe de médecine palliative par une équipe de soins palliatifs (interne et externe);Trattamento medico palliativo complesso eseguito dal servizio palliativo (interno ed esterno)
N.1.1.F;Roboterchirurgie bei urologischen Index-Eingriffen;Chirurgie robotisée en cas d’interventions index urologiques;Chirurgia robotica in caso di interventi secondo l'indice urologico
Z.4.1.F;Dermatologische Onkologie;Oncologie dermatologique;Dermatologia oncologica
Z.4.10.F;Zerebrovaskuläre Störungen im Stroke Center (IVHSM);Traitement des accidents vasculaires cérébraux en Stroke Center (CIMHS);Malattie cerebrovascolari presso Stroke Center (CIMAS)
Z.4.11.F;Epileptologie: Komplex-Diagnostik;Epileptologie : diagnostic complexe;Epilettologia: diagnostica complessa
Z.4.12.F;Epileptologie: Komplex-Behandlung;Epileptologie : traitement complexe;Epilettologia: trattamento complesso
Z.4.13.F;Grosse Pankreaseingriffe (IVHSM);Chirurgie pancréatique lourde (CIMHS);Chirurgia pancreatica maggiore (CIMAS)
Z.4.14.F;Grosse Lebereingriffe (IVHSM);Résection hépatique lourde (CIMHS);Chirurgia epatica maggiore (CIMAS)
Z.4.15.F;Oesophaguschirurgie (IVHSM);Résections œsophagiennes (CIMHS);Chirurgia esofagea (CIMAS)
Z.4.16.F;Spezialisierte Bariatrische Chirurgie (IVHSM);Chirurgie bariatrique complexe (CIMHS);Chirurgia bariatrica specializzata (CIMAS)
Z.4.17.F;Tiefe Rektumeingriffe (IVHSM);Résection rectale profonde (CIMHS);Chirurgia rettale bassa (CIMAS)
Z.4.18.F;Hoch-aggressive Lymphome und akute Leukämien mit kurativer Chemotherapie;Lymphomes très agressifs et leucémies aiguës avec chimiothérapie curative;Linfomi altamente aggressivi e leucemie acute con chemioterapia curativa
Z.4.19.F;Autologe Blutstammzelltransplantation;Transplantation de cellules souches hématopoïétiques autologues;Trapianto autologo di cellule staminali ematopoietiche
Z.4.2.F;Cochlea Implantate (IVHSM);Implants cochléaires (CIMHS);Impianti cocleari (CIMAS)
Z.4.20.F;Allogene Blutstammzelltransplantation (IVHSM);Transplantation de cellules souches hématopoïétiques allogéniques (CIMHS);Trapianto allogenico di cellule staminali ematopaietiche (CIMAS)
Z.4.21.F;Gefässchirurgie periphere Gefässe (arteriell);Chirurgie vasculaire périphérique (artérielle);Chirurgia vascolare dei vasi periferici (arteriosi)
Z.4.22.F;Interventionen und Gefässchirurgie intraabdominale Gefässe;Interventions et chirurgie vasculaire sur les vaisseaux intra-abdominaux;Interventi e chirurgia vascolare dei vasi intra-addominali
Z.4.23.F;Gefässchirurgie Carotis;Chirurgie carotidienne;Chirurgia della carotide
Z.4.24.F;Interventionen Carotis und extrakranielle Gefässe;Interventions sur la carotide et les vaisseaux extracrâniens;Interventi alla carotide e ai vasi extracranici
Z.4.25.F;Koronarchirurgie (CABG);Chirurgie coronarienne (PAC);Chirurgia coronarica (BPAC)
Z.4.26.F;Komplexe kongenitale Herzchirurgie;Chirurgie cardiaque congénitale complexe;Cardiochirurgia congenita complessa
Z.4.27.F;Interventionelle Kardiologie (Spezialeingriffe);Cardiologie interventionnelle (interventions spéciales);Cardiologia interventistica (interventi speciali)
Z.4.28.F;Radikale Prostatektomie;Prostatectomie radicale;Prostatectomia radicale
Z.4.29.F;Radikale Zystektomie;Cystectomie radicale;Cistectomia radicale
Z.4.3.F;Schild- und Nebenschilddrüsenchirurgie;Chirurgie de la thyroïde et des parathyroïdes;Chirurgia della tiroide e delle parotidi
Z.4.30.F;Komplexe Chirurgie der Niere (Tumornephrektomie und Nierenteilsektion);Chirurgie complexe des reins (néphrectomie pour tumeur et résection partielle du rein);Chirurgia complessa dei reni (Nefrectomia per indicazione oncologica e nefrectomia parziale)
Z.4.31.F;Maligne Neoplasien des Atmungssystems (kurative Resektion durch Lobektomie/Pneumonektomie);Cancers du système respiratoire (résection curative par lobectomie/pneumonectomie);Neoplasie maligne del sistema respiratorio (resezione curativa)
Z.4.32.F;Herztransplantation (IVHSM);Transplantation cardiaque (CIMHS);Trapianto cardiaco (CIMAS)
Z.4.33.F;Lungentransplantation (IVHSM);Transplantation pulmonaire (CIMHS);Trapianto polmonare (CIMAS)
Z.4.34.F;Lebertransplantation (IVHSM);Transplantation hépatique (CIMHS);Trapianto epatico (CIMAS)
Z.4.35.F;Pankreastransplantation (IVHSM);Transplantation pancréatique (CIMHS);Trapianto pancreatico (CIMAS)
Z.4.36.F;Nierentransplantation (IVHSM);Transplantation rénale CIMHS);Trapianto renale (CIMAS)
Z.4.37.F;Erstprothese Hüfte;Prothèses de hanche de première intention;Prima protesi all'anca
Z.4.38.F;Erstprothese Knie;Prothèses du genou de première intention;Prima protesi al ginocchio
Z.4.39.F;Spezialisierte Wirbelsäulenchirurgie;Chirurgie spécialisée du rachis;Chirurgia specialistica della colonna vertebrale
Z.4.4.F;Spezialisierte Neurochirurgie;Neurochirurgie spécialisée;Neurochirurgia specializzata
Z.4.40.F;Knochentumore;Tumeurs osseuses;Tumori ossei
Z.4.41.F;Plexuschirurgie;Chirurgie du plexus;Chirurgia del plesso
Z.4.42.F;Gynäkologische Tumore;Tumeurs gynécologiques;Tumori ginecologici
Z.4.43.F;Anerkanntes zertifiziertes Brustzentrum;Centre de sénologie certifié reconnu;Centro certificato di senologia riconosciuto
Z.4.44.F;Geburtshilfe (ab GA 32 0/7 SSW und GG 1250g);Obstétrique (à partir de AG 32 0/7 SA et PN 1250g);Ostetricia (dalla 32 settimana di gestazione e >1249g)
Z.4.45.F;Ausgedehnte Verbrennungen (IVHSM);Brûlures étendues (CIMHS);Ustioni (CIMAS)
Z.4.5.F;Behandlungen von vaskulären Erkrankungen des ZNS ohne die komplexen vaskulären Anomalien (IVHSM);Traitement des pathologies vasculaires du SNC hormis les anomalies vasculaires complexes (CIMHS);Trattamento di patologie vascolari del SNC senza le anomalie vascolari complesse (CIMAS)
Z.4.6.F;Behandlungen von komplexen vaskulären Anomalien des ZNS (IVHSM);Traitement des anomalies vasculaires complexes du SNC (CIMHS);Trattamento di anomalie vascolari complesse del SNC (CIMAS)
Z.4.7.F;Stereotaktische funktionelle Neurochirurgie (IVHSM);Neurochirurgie stéréotaxique fonctionnelle (CIMHS);Neurochirurgia stereotassica funzionale (CIMAS)
Z.4.8.F;Epilepsiechirurgie (IVHSM);Chirurgie de l’épilepsie (CIMHS);Chirurgia dell'epilessia (CIMAS)
Z.4.9.F;Tumori intramidollari primari e secondari (CIMAS);Processus expansifs intramédullaires primaires et secondaires (CIMHS);Primäre und sekundäre intramedulläre Raumforderungen (IVHSM)
