Structure of the permanent resident population by canton, on 31.12.2023;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Basel-Landschaft;290.969 ;55.753 ;170.100 ;65.116 ;142.767 ;148.202 ;222.404 ;68.565 ;118.581 ;130.683 ;15.809 ;25.080 ;11 ;726 ;77 ;197.713 ;86.359 ;6.897 
Aargau;694.072 ;140.443 ;427.461 ;126.168 ;348.814 ;345.258 ;517.015 ;177.057 ;298.014 ;306.795 ;30.659 ;57.257 ;33 ;1.125 ;168 ;380.756 ;209.519 ;103.797 
Zurich;1.553.423 ;307.069 ;980.693 ;265.661 ;774.299 ;779.124 ;1.129.722 ;423.701 ;732.076 ;618.478 ;62.232 ;134.045 ;81 ;5.517 ;947 ;1.200.621 ;342.561 ;10.241 
Eastern Switzerland;1.193.069 ;235.425 ;724.940 ;232.704 ;598.955 ;594.114 ;912.802 ;280.267 ;512.342 ;519.867 ;57.991 ;100.949 ;57 ;1.629 ;199 ;647.355 ;204.582 ;341.132 
Glarus;40.851 ;7.821 ;24.610 ;8.420 ;20.625 ;20.226 ;30.753 ;10.098 ;17.182 ;17.884 ;2.283 ;3.443 ;2 ;50 ;7 ;31.371 ;0 ;9.480 
Schaffhausen;83.107 ;15.515 ;49.632 ;17.960 ;41.162 ;41.945 ;61.267 ;21.840 ;34.219 ;36.690 ;4.538 ;7.485 ;1 ;151 ;22 ;47.419 ;27.219 ;8.469 
Appenzell A. Rh.;55.309 ;11.163 ;32.940 ;11.206 ;27.883 ;27.426 ;46.135 ;9.174 ;23.560 ;24.002 ;2.765 ;4.882 ;1 ;87 ;12 ;15.649 ;26.711 ;12.949 
Appenzell I. Rh.;16.293 ;3.414 ;9.621 ;3.258 ;8.361 ;7.932 ;14.420 ;1.873 ;7.396 ;7.039 ;849 ;1.001 ;1 ;5 ;2 ;0 ;0 ;16.293 
St. Gallen;514.504 ;105.183 ;313.333 ;95.988 ;258.108 ;256.396 ;387.398 ;127.106 ;224.463 ;222.302 ;24.223 ;42.706 ;27 ;678 ;74 ;356.434 ;67.446 ;90.624 
Graubünden;200.096 ;35.161 ;120.785 ;44.150 ;100.289 ;99.807 ;161.989 ;38.107 ;85.157 ;87.156 ;10.715 ;16.788 ;13 ;234 ;30 ;65.578 ;24.325 ;110.193 
Thurgau;282.909 ;57.168 ;174.019 ;51.722 ;142.527 ;140.382 ;210.840 ;72.069 ;120.365 ;124.794 ;12.618 ;24.644 ;12 ;424 ;52 ;130.904 ;58.881 ;93.124 
Central Switzerland;825.745 ;164.123 ;509.382 ;152.240 ;416.252 ;409.493 ;656.639 ;169.106 ;369.320 ;356.682 ;36.709 ;61.420 ;58 ;1.354 ;178 ;484.754 ;108.297 ;232.694 
Lucerne;416.347 ;84.267 ;256.790 ;75.290 ;207.582 ;208.765 ;337.132 ;79.215 ;191.095 ;175.836 ;18.746 ;29.842 ;25 ;693 ;98 ;218.741 ;47.404 ;150.202 
Uri;36.819 ;7.315 ;21.739 ;7.765 ;18.768 ;18.051 ;32.073 ;4.746 ;15.821 ;16.962 ;1.965 ;2.025 ;6 ;35 ;5 ;22.675 ;9.870 ;4.274 
Schwyz;162.157 ;31.099 ;101.197 ;29.861 ;83.109 ;79.048 ;126.227 ;35.930 ;70.456 ;70.988 ;7.144 ;13.244 ;10 ;276 ;36 ;98.652 ;34.560 ;28.945 
Obwalden;38.108 ;7.589 ;23.034 ;7.485 ;19.268 ;18.840 ;32.475 ;5.633 ;16.708 ;16.949 ;1.808 ;2.592 ;2 ;45 ;3 ;10.514 ;0 ;27.594 
Nidwalden;43.520 ;7.863 ;26.388 ;9.269 ;22.298 ;21.222 ;36.996 ;6.524 ;18.745 ;19.047 ;2.048 ;3.620 ;2 ;48 ;5 ;15.978 ;5.863 ;21.679 
Zug;128.794 ;25.990 ;80.234 ;22.570 ;65.227 ;63.567 ;91.736 ;37.058 ;56.495 ;56.900 ;4.998 ;10.097 ;13 ;257 ;31 ;118.194 ;10.600 ;0 
Ticino;350.986 ;62.537 ;207.438 ;81.011 ;170.830 ;180.156 ;254.109 ;96.877 ;149.783 ;148.017 ;21.222 ;31.365 ;41 ;482 ;74 ;249.664 ;75.773 ;25.549 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2020";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2019;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.606.033 ;1.717.198 ;5.283.035 ;1.605.800 ;4.268.863 ;4.337.170 ;6.430.658 ;2.175.375 ;3.843.439 ;3.599.225 ;404.591 ;737.094 ;596 ;18.231 ;2.606 ;5.422.227 ;1.874.960 ;1.308.846 
Lake Geneva region;1.654.751 ;350.184 ;1.019.602 ;284.965 ;810.627 ;844.124 ;1.109.609 ;545.142 ;769.856 ;657.991 ;72.804 ;149.287 ;179 ;3.995 ;588 ;1.145.994 ;352.393 ;156.364 
Vaud;805.098 ;176.324 ;495.399 ;133.375 ;395.189 ;409.909 ;539.414 ;265.684 ;379.802 ;317.927 ;34.103 ;70.898 ;63 ;1.998 ;283 ;496.862 ;224.782 ;83.454 
Valais;345.525 ;67.783 ;208.907 ;68.835 ;171.254 ;174.271 ;267.503 ;78.022 ;148.368 ;148.410 ;18.435 ;29.759 ;32 ;436 ;69 ;189.532 ;83.083 ;72.910 
Geneva;504.128 ;106.077 ;315.296 ;82.755 ;244.184 ;259.944 ;302.692 ;201.436 ;241.686 ;191.654 ;20.266 ;48.630 ;84 ;1.561 ;236 ;459.600 ;44.528 ;0 
Espace Mittelland;1.886.584 ;373.779 ;1.138.042 ;374.763 ;931.877 ;954.707 ;1.522.281 ;364.303 ;830.318 ;789.245 ;96.969 ;166.289 ;109 ;3.103 ;495 ;944.887 ;503.734 ;437.963 
Bern;1.039.474 ;197.741 ;622.788 ;218.945 ;510.170 ;529.304 ;867.188 ;172.286 ;455.044 ;436.650 ;55.218 ;90.309 ;50 ;1.869 ;313 ;546.207 ;230.693 ;262.574 
Fribourg;321.783 ;71.380 ;198.907 ;51.496 ;161.153 ;160.630 ;248.327 ;73.456 ;148.134 ;133.187 ;13.546 ;26.342 ;21 ;479 ;62 ;105.150 ;135.458 ;81.175 
Solothurn;275.247 ;52.352 ;168.215 ;54.680 ;137.659 ;137.588 ;212.104 ;63.143 ;115.759 ;120.186 ;14.173 ;24.580 ;15 ;443 ;69 ;166.058 ;70.477 ;38.712 
Neuchâtel;176.496 ;36.989 ;105.527 ;33.980 ;86.495 ;90.001 ;131.913 ;44.583 ;79.300 ;68.834 ;9.493 ;18.588 ;13 ;228 ;40 ;102.675 ;52.364 ;21.457 
Jura;73.584 ;15.317 ;42.605 ;15.662 ;36.400 ;37.184 ;62.749 ;10.835 ;32.081 ;30.388 ;4.539 ;6.470 ;10 ;84 ;11 ;24.797 ;14.742 ;34.045 
Northwest Switzerland;1.171.157 ;228.236 ;716.949 ;225.972 ;581.620 ;589.537 ;859.050 ;312.107 ;504.645 ;507.452 ;56.483 ;99.664 ;66 ;2.521 ;303 ;767.723 ;293.956 ;109.478 
Basel-Stadt;195.844 ;33.969 ;123.115 ;38.760 ;94.997 ;100.847 ;124.085 ;71.759 ;94.518 ;71.139 ;10.209 ;19.115 ;24 ;752 ;82 ;195.844 ;0 ;0 
Basel-Landschaft;289.468 ;55.458 ;169.810 ;64.200 ;141.890 ;147.578 ;222.615 ;66.853 ;117.224 ;131.112 ;15.749 ;24.605 ;10 ;692 ;74 ;196.919 ;85.694 ;6.855 
Aargau;685.845 ;138.809 ;424.024 ;123.012 ;344.733 ;341.112 ;512.350 ;173.495 ;292.903 ;305.201 ;30.525 ;55.944 ;32 ;1.077 ;147 ;374.960 ;208.262 ;102.623 
Zurich;1.539.275 ;304.095 ;972.784 ;262.396 ;766.679 ;772.596 ;1.122.495 ;416.780 ;718.884 ;619.082 ;62.535 ;132.491 ;85 ;5.304 ;839 ;1.190.339 ;338.757 ;10.179 
Eastern Switzerland;1.183.813 ;234.375 ;721.355 ;228.083 ;594.186 ;589.627 ;909.076 ;274.737 ;506.261 ;518.981 ;58.057 ;98.687 ;62 ;1.547 ;177 ;642.112 ;203.233 ;338.468 
Glarus;40.590 ;7.791 ;24.537 ;8.262 ;20.546 ;20.044 ;30.765 ;9.825 ;16.950 ;17.927 ;2.295 ;3.359 ;3 ;51 ;5 ;31.137 ;0 ;9.453 
Schaffhausen;82.348 ;15.403 ;49.301 ;17.644 ;40.768 ;41.580 ;60.891 ;21.457 ;33.798 ;36.511 ;4.567 ;7.308 ;1 ;146 ;17 ;47.071 ;26.831 ;8.446 
Appenzell A. Rh.;55.445 ;11.198 ;33.195 ;11.052 ;27.938 ;27.507 ;46.319 ;9.126 ;23.639 ;24.162 ;2.774 ;4.779 ;1 ;82 ;8 ;15.763 ;26.713 ;12.969 
Appenzell I. Rh.;16.128 ;3.405 ;9.566 ;3.157 ;8.303 ;7.825 ;14.312 ;1.816 ;7.285 ;7.025 ;853 ;951 ;1 ;12 ;1 ;0 ;0 ;16.128 
St. Gallen;510.734 ;104.584 ;311.506 ;94.644 ;256.039 ;254.695 ;385.916 ;124.818 ;221.464 ;222.293 ;24.356 ;41.843 ;29 ;644 ;71 ;354.003 ;67.039 ;89.692 
Graubünden;199.021 ;35.381 ;120.467 ;43.173 ;99.707 ;99.314 ;161.639 ;37.382 ;84.525 ;87.117 ;10.709 ;16.403 ;15 ;221 ;27 ;64.720 ;24.666 ;109.635 
Thurgau;279.547 ;56.613 ;172.783 ;50.151 ;140.885 ;138.662 ;209.234 ;70.313 ;118.600 ;123.946 ;12.503 ;24.044 ;12 ;391 ;48 ;129.418 ;57.984 ;92.145 
Central Switzerland;818.962 ;163.404 ;506.655 ;148.903 ;412.733 ;406.229 ;653.514 ;165.448 ;365.176 ;355.966 ;36.470 ;59.828 ;54 ;1.298 ;148 ;481.026 ;106.862 ;231.074 
Lucerne;413.120 ;83.814 ;255.571 ;73.735 ;205.976 ;207.144 ;335.508 ;77.612 ;188.877 ;175.800 ;18.629 ;29.020 ;24 ;682 ;76 ;217.191 ;46.639 ;149.290 
Uri;36.703 ;7.357 ;21.715 ;7.631 ;18.739 ;17.964 ;32.084 ;4.619 ;15.739 ;16.983 ;1.982 ;1.955 ;6 ;33 ;5 ;22.656 ;9.859 ;4.188 
Schwyz;160.480 ;30.944 ;100.405 ;29.131 ;82.213 ;78.267 ;125.367 ;35.113 ;69.530 ;70.689 ;7.055 ;12.907 ;6 ;257 ;32 ;97.586 ;34.089 ;28.805 
Obwalden;37.930 ;7.590 ;23.018 ;7.322 ;19.158 ;18.772 ;32.361 ;5.569 ;16.648 ;16.906 ;1.803 ;2.529 ;2 ;39 ;2 ;10.458 ;0 ;27.472 
Nidwalden;43.087 ;7.798 ;26.281 ;9.008 ;22.053 ;21.034 ;36.719 ;6.368 ;18.562 ;18.953 ;2.021 ;3.498 ;3 ;44 ;4 ;15.992 ;5.776 ;21.319 
Zug;127.642 ;25.901 ;79.665 ;22.076 ;64.594 ;63.048 ;91.475 ;36.167 ;55.820 ;56.635 ;4.980 ;9.919 ;13 ;243 ;29 ;117.143 ;10.499 ;0 
Ticino;351.491 ;63.125 ;207.648 ;80.718 ;171.141 ;180.350 ;254.633 ;96.858 ;148.299 ;150.508 ;21.273 ;30.848 ;41 ;463 ;56 ;250.146 ;76.025 ;25.320 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2019";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2018;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.544.527 ;1.709.458 ;5.257.768 ;1.577.301 ;4.237.121 ;4.307.406 ;6.396.252 ;2.148.275 ;3.797.529 ;3.597.800 ;405.348 ;723.331 ;598 ;17.392 ;2.305 ;5.380.353 ;1.861.193 ;1.302.981 
Lake Geneva region;1.642.580 ;349.186 ;1.012.587 ;280.807 ;804.808 ;837.772 ;1.099.297 ;543.283 ;758.587 ;660.079 ;72.910 ;146.485 ;171 ;3.775 ;522 ;1.137.812 ;348.868 ;155.900 
Vaud;799.145 ;175.670 ;492.075 ;131.400 ;392.529 ;406.616 ;533.878 ;265.267 ;374.074 ;319.150 ;34.214 ;69.485 ;60 ;1.892 ;247 ;493.915 ;222.272 ;82.958 
Valais;343.955 ;68.005 ;208.500 ;67.450 ;170.431 ;173.524 ;265.879 ;78.076 ;147.060 ;149.070 ;18.370 ;28.941 ;33 ;408 ;56 ;188.756 ;82.257 ;72.942 
Geneva;499.480 ;105.511 ;312.012 ;81.957 ;241.848 ;257.632 ;299.540 ;199.940 ;237.453 ;191.859 ;20.326 ;48.059 ;78 ;1.475 ;219 ;455.141 ;44.339 ;0 
Espace Mittelland;1.877.154 ;373.098 ;1.136.002 ;368.054 ;926.783 ;950.371 ;1.518.454 ;358.700 ;822.245 ;790.588 ;97.441 ;163.311 ;113 ;2.955 ;460 ;940.874 ;499.938 ;436.342 
Bern;1.034.977 ;197.081 ;622.412 ;215.484 ;507.791 ;527.186 ;865.906 ;169.071 ;450.924 ;437.708 ;55.506 ;88.678 ;55 ;1.787 ;296 ;543.353 ;229.573 ;262.051 
Fribourg;318.714 ;71.206 ;197.382 ;50.126 ;159.579 ;159.135 ;246.355 ;72.359 ;146.131 ;132.836 ;13.533 ;25.678 ;25 ;444 ;58 ;104.670 ;133.895 ;80.149 
Solothurn;273.194 ;52.055 ;167.704 ;53.435 ;136.475 ;136.719 ;211.399 ;61.795 ;114.497 ;119.734 ;14.210 ;24.262 ;11 ;412 ;61 ;164.793 ;70.080 ;38.321 
Neuchâtel;176.850 ;37.361 ;105.812 ;33.677 ;86.621 ;90.229 ;132.143 ;44.707 ;78.853 ;69.688 ;9.652 ;18.382 ;12 ;228 ;34 ;103.062 ;52.257 ;21.531 
Jura;73.419 ;15.395 ;42.692 ;15.332 ;36.317 ;37.102 ;62.651 ;10.768 ;31.840 ;30.622 ;4.540 ;6.311 ;10 ;84 ;11 ;24.996 ;14.133 ;34.290 
Northwest Switzerland;1.161.105 ;226.158 ;713.317 ;221.630 ;576.428 ;584.677 ;854.046 ;307.059 ;498.190 ;505.965 ;56.482 ;97.709 ;68 ;2.408 ;261 ;761.407 ;291.340 ;108.358 
Basel-Stadt;194.766 ;33.585 ;122.466 ;38.715 ;94.311 ;100.455 ;123.867 ;70.899 ;93.443 ;71.195 ;10.436 ;18.868 ;25 ;722 ;74 ;194.766 ;0 ;0 
Basel-Landschaft;288.132 ;55.328 ;169.597 ;63.207 ;141.341 ;146.791 ;222.396 ;65.736 ;116.257 ;131.140 ;15.671 ;24.333 ;9 ;661 ;59 ;196.108 ;85.166 ;6.858 
Aargau;678.207 ;137.245 ;421.254 ;119.708 ;340.776 ;337.431 ;507.783 ;170.424 ;288.490 ;303.630 ;30.375 ;54.508 ;34 ;1.025 ;128 ;370.533 ;206.174 ;101.500 
Zurich;1.520.968 ;300.178 ;962.059 ;258.731 ;757.081 ;763.887 ;1.112.574 ;408.394 ;705.128 ;616.619 ;62.676 ;130.518 ;90 ;5.125 ;753 ;1.173.534 ;337.221 ;10.213 
Eastern Switzerland;1.176.321 ;233.799 ;719.480 ;223.042 ;590.060 ;586.261 ;906.244 ;270.077 ;502.525 ;517.369 ;58.057 ;96.680 ;60 ;1.451 ;146 ;638.126 ;201.579 ;336.616 
Glarus;40.403 ;7.726 ;24.566 ;8.111 ;20.448 ;19.955 ;30.671 ;9.732 ;16.842 ;17.889 ;2.310 ;3.316 ;2 ;41 ;3 ;30.909 ;0 ;9.494 
Schaffhausen;81.991 ;15.411 ;49.233 ;17.347 ;40.560 ;41.431 ;60.626 ;21.365 ;33.668 ;36.412 ;4.568 ;7.186 ;1 ;141 ;15 ;47.099 ;26.527 ;8.365 
Appenzell A. Rh.;55.234 ;11.128 ;33.220 ;10.886 ;27.889 ;27.345 ;46.220 ;9.014 ;23.502 ;24.128 ;2.795 ;4.720 ;1 ;81 ;7 ;15.745 ;26.569 ;12.920 
Appenzell I. Rh.;16.145 ;3.424 ;9.630 ;3.091 ;8.300 ;7.845 ;14.321 ;1.824 ;7.354 ;6.995 ;847 ;930 ;1 ;15 ;3 ;0 ;0 ;16.145 
St. Gallen;507.697 ;104.248 ;310.799 ;92.650 ;254.304 ;253.393 ;385.295 ;122.402 ;219.865 ;221.801 ;24.302 ;41.014 ;28 ;605 ;54 ;351.835 ;66.645 ;89.217 
Graubünden;198.379 ;35.687 ;120.386 ;42.306 ;99.374 ;99.005 ;161.397 ;36.982 ;84.164 ;87.286 ;10.743 ;15.942 ;15 ;202 ;24 ;64.561 ;24.381 ;109.437 
Thurgau;276.472 ;56.175 ;171.646 ;48.651 ;139.185 ;137.287 ;207.714 ;68.758 ;117.130 ;122.858 ;12.492 ;23.572 ;12 ;366 ;40 ;127.977 ;57.457 ;91.038 
Central Switzerland;813.056 ;162.941 ;504.973 ;145.142 ;409.769 ;403.287 ;650.521 ;162.535 ;362.322 ;354.594 ;36.382 ;58.329 ;55 ;1.247 ;111 ;477.046 ;106.022 ;229.988 
Lucerne;409.557 ;83.363 ;254.126 ;72.068 ;204.100 ;205.457 ;333.672 ;75.885 ;187.057 ;174.800 ;18.649 ;28.311 ;24 ;651 ;58 ;214.883 ;46.250 ;148.424 
Uri;36.433 ;7.340 ;21.651 ;7.442 ;18.609 ;17.824 ;31.936 ;4.497 ;15.568 ;16.939 ;1.996 ;1.886 ;8 ;31 ;5 ;22.499 ;9.789 ;4.145 
Schwyz;159.165 ;30.986 ;99.947 ;28.232 ;81.599 ;77.566 ;124.828 ;34.337 ;68.977 ;70.322 ;7.053 ;12.543 ;5 ;238 ;23 ;96.821 ;33.747 ;28.597 
Obwalden;37.841 ;7.639 ;23.100 ;7.102 ;19.144 ;18.697 ;32.296 ;5.545 ;16.644 ;16.880 ;1.782 ;2.494 ;2 ;37 ;2 ;10.368 ;0 ;27.473 
Nidwalden;43.223 ;7.884 ;26.552 ;8.787 ;22.122 ;21.101 ;36.872 ;6.351 ;18.622 ;19.151 ;1.999 ;3.402 ;4 ;42 ;1 ;16.097 ;5.777 ;21.349 
Zug;126.837 ;25.729 ;79.597 ;21.511 ;64.195 ;62.642 ;90.917 ;35.920 ;55.454 ;56.502 ;4.903 ;9.693 ;12 ;248 ;22 ;116.378 ;10.459 ;0 
Ticino;353.343 ;64.098 ;209.350 ;79.895 ;172.192 ;181.151 ;255.116 ;98.227 ;148.532 ;152.586 ;21.400 ;30.299 ;41 ;431 ;52 ;251.554 ;76.225 ;25.564 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2018";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2017;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.484.130 ;1.700.494 ;5.233.271 ;1.550.365 ;4.206.434 ;4.277.696 ;6.357.738 ;2.126.392 ;3.755.372 ;3.592.368 ;406.117 ;711.025 ;588 ;16.435 ;2.001 ;5.339.043 ;1.852.223 ;1.292.864 
Lake Geneva region;1.629.841 ;346.875 ;1.005.903 ;277.063 ;798.780 ;831.061 ;1.086.874 ;542.967 ;747.544 ;661.155 ;73.063 ;143.847 ;163 ;3.558 ;458 ;1.129.428 ;344.955 ;155.458 
Vaud;793.129 ;174.446 ;488.905 ;129.778 ;389.504 ;403.625 ;527.117 ;266.012 ;368.315 ;319.792 ;34.382 ;68.554 ;57 ;1.786 ;216 ;491.022 ;219.482 ;82.625 
Valais;341.463 ;67.825 ;207.639 ;65.999 ;169.162 ;172.301 ;263.082 ;78.381 ;145.510 ;149.095 ;18.326 ;28.051 ;35 ;378 ;52 ;187.341 ;81.289 ;72.833 
Geneva;495.249 ;104.604 ;309.359 ;81.286 ;240.114 ;255.135 ;296.675 ;198.574 ;233.719 ;192.268 ;20.355 ;47.242 ;71 ;1.394 ;190 ;451.065 ;44.184 ;0 
Espace Mittelland;1.868.886 ;372.526 ;1.134.465 ;361.895 ;922.655 ;946.231 ;1.514.630 ;354.256 ;815.367 ;791.716 ;97.906 ;160.544 ;123 ;2.792 ;386 ;937.087 ;501.043 ;430.756 
Bern;1.031.126 ;196.464 ;622.668 ;211.994 ;505.911 ;525.215 ;864.345 ;166.781 ;447.669 ;437.969 ;55.951 ;87.498 ;57 ;1.696 ;258 ;540.715 ;228.540 ;261.871 
Fribourg;315.074 ;70.790 ;195.404 ;48.880 ;157.874 ;157.200 ;244.143 ;70.931 ;143.931 ;132.264 ;13.480 ;24.910 ;30 ;408 ;43 ;103.666 ;132.449 ;78.959 
Solothurn;271.432 ;51.786 ;167.169 ;52.477 ;135.497 ;135.935 ;210.812 ;60.620 ;113.401 ;119.540 ;14.256 ;23.766 ;13 ;398 ;44 ;163.697 ;70.005 ;37.730 
Neuchâtel;177.964 ;37.939 ;106.567 ;33.458 ;87.093 ;90.871 ;132.811 ;45.153 ;78.725 ;71.046 ;9.692 ;18.242 ;14 ;212 ;32 ;103.991 ;56.005 ;17.968 
Jura;73.290 ;15.547 ;42.657 ;15.086 ;36.280 ;37.010 ;62.519 ;10.771 ;31.641 ;30.897 ;4.527 ;6.128 ;9 ;78 ;9 ;25.018 ;14.044 ;34.228 
Northwest Switzerland;1.151.919 ;224.171 ;710.358 ;217.390 ;571.672 ;580.247 ;850.199 ;301.720 ;492.796 ;504.252 ;56.491 ;95.794 ;64 ;2.261 ;242 ;755.406 ;289.244 ;107.269 
Basel-Stadt;193.908 ;33.117 ;122.052 ;38.739 ;93.723 ;100.185 ;124.147 ;69.761 ;92.283 ;71.463 ;10.613 ;18.774 ;23 ;682 ;66 ;193.908 ;0 ;0 
Basel-Landschaft;287.023 ;55.109 ;169.687 ;62.227 ;140.771 ;146.252 ;222.343 ;64.680 ;115.488 ;131.317 ;15.650 ;23.879 ;10 ;624 ;53 ;195.457 ;84.629 ;6.937 
Aargau;670.988 ;135.945 ;418.619 ;116.424 ;337.178 ;333.810 ;503.709 ;167.279 ;285.025 ;301.472 ;30.228 ;53.141 ;31 ;955 ;123 ;366.041 ;204.615 ;100.332 
Zurich;1.504.346 ;296.854 ;952.121 ;255.371 ;748.276 ;756.070 ;1.102.014 ;402.332 ;693.245 ;613.343 ;62.962 ;129.082 ;90 ;4.914 ;655 ;1.158.518 ;335.631 ;10.197 
Eastern Switzerland;1.169.358 ;233.468 ;717.934 ;217.956 ;586.426 ;582.932 ;902.131 ;267.227 ;499.101 ;515.657 ;58.030 ;94.989 ;54 ;1.374 ;125 ;634.402 ;200.187 ;334.769 
Glarus;40.349 ;7.761 ;24.631 ;7.957 ;20.423 ;19.926 ;30.636 ;9.713 ;16.800 ;17.940 ;2.318 ;3.243 ;2 ;40 ;6 ;30.768 ;0 ;9.581 
Schaffhausen;81.351 ;15.302 ;48.973 ;17.076 ;40.251 ;41.100 ;60.185 ;21.166 ;33.340 ;36.151 ;4.598 ;7.111 ;2 ;138 ;11 ;46.786 ;26.260 ;8.305 
Appenzell A. Rh.;55.178 ;11.150 ;33.438 ;10.590 ;27.879 ;27.299 ;46.181 ;8.997 ;23.452 ;24.134 ;2.844 ;4.661 ;2 ;78 ;7 ;15.780 ;26.482 ;12.916 
Appenzell I. Rh.;16.105 ;3.479 ;9.613 ;3.013 ;8.290 ;7.815 ;14.271 ;1.834 ;7.319 ;7.029 ;855 ;887 ;1 ;10 ;3 ;0 ;0 ;16.105 
St. Gallen;504.686 ;104.151 ;309.810 ;90.725 ;252.710 ;251.976 ;383.755 ;120.931 ;218.391 ;220.999 ;24.270 ;40.353 ;25 ;583 ;46 ;349.971 ;66.182 ;88.533 
Graubünden;197.888 ;35.900 ;120.638 ;41.350 ;99.050 ;98.838 ;160.985 ;36.903 ;83.843 ;87.490 ;10.729 ;15.615 ;12 ;177 ;17 ;64.286 ;24.278 ;109.324 
Thurgau;273.801 ;55.725 ;170.831 ;47.245 ;137.823 ;135.978 ;206.118 ;67.683 ;115.956 ;121.914 ;12.416 ;23.119 ;10 ;348 ;35 ;126.811 ;56.985 ;90.005 
Central Switzerland;806.071 ;161.831 ;502.449 ;141.791 ;406.120 ;399.951 ;646.768 ;159.303 ;359.219 ;352.375 ;36.269 ;56.920 ;53 ;1.128 ;92 ;472.338 ;105.163 ;228.570 
Lucerne;406.506 ;82.868 ;252.896 ;70.742 ;202.534 ;203.972 ;331.512 ;74.994 ;185.365 ;174.163 ;18.682 ;27.623 ;23 ;591 ;51 ;213.163 ;45.846 ;147.497 
Uri;36.299 ;7.359 ;21.656 ;7.284 ;18.522 ;17.777 ;31.928 ;4.371 ;15.541 ;16.869 ;1.991 ;1.855 ;7 ;31 ;5 ;22.323 ;9.795 ;4.181 
Schwyz;157.301 ;30.745 ;99.111 ;27.445 ;80.618 ;76.683 ;124.130 ;33.171 ;68.164 ;69.693 ;6.999 ;12.216 ;5 ;207 ;14 ;95.518 ;33.446 ;28.337 
Obwalden;37.575 ;7.622 ;23.079 ;6.874 ;19.030 ;18.545 ;32.056 ;5.519 ;16.589 ;16.719 ;1.770 ;2.462 ;1 ;33 ;1 ;10.236 ;0 ;27.339 
