code;de;fr;it;en
A.3.13.M;Therapeutische Katheter der Koronargefässe ohne HD Herzinfarkt oder OP am Herzen (Alter >19), Zuverlegungen, Mortalität;Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;Catetere terapeutico dei vasi coronarici senza DP infarto miocardico o OP al cuore (età >19), trasferito da un altro ospedale, mortalità;Therapeutic catheterization of coronary vessels without PD myocardial infarction or heart surgery (age >19), transferred from another hospital, mortality
A.3.14.M;Therapeutische Katheter der Koronargefässe ohne HD Herzinfarkt oder OP am Herzen, mit Herz-Kreislauf-Stillstand vor Aufnahme (Alter >19), Mortalität;Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde ou OP du cœur, avec arrêt cardio-circulatoire avant l’admission (âge >19), mortalité;Catetere terapeutico dei vasi coronarici senza DP infarto miocardico o OP al cuore, con arresto cardiocircolatorio precedente l’ammissione (età >19), mortalità;Therapeutic catheterization of coronary vessels without PD myocardial infarction or heart surgery, with cardiovascular arrest before admission (age >19), mortality
A.3.2.M;Katheter der Koronargefässe bei HD Herzinfarkt ohne OP am Herzen oder Herz-Kreislauf-Stillstand vor Aufnahme (Alter >19), Direktaufnahmen, Mortalität;Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur ou arrêt cardio-circulatoire avant l’admission (âge >19), admissions directes, mortalité;Catetere dei vasi coronarici con DP infarto miocardico senza OP al cuore o arresto cardiocircolatorio precedente l’ammissione (età >19), ammissioni dirette, mortalità;Catheterization of coronary vessels in cases with PD myocardial infarction without heart surgery or cardiovascular arrest before admission (age >19), direct admissions, mortality
A.3.4.M;Diagnostische Katheter der Koronargefässe ohne HD Herzinfarkt, OP am Herzen oder Herz-Kreislauf-Stillstand vor Aufnahme (Alter >19), Direktaufnahmen, Mortalität;Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde, OP du cœur ou arrêt cardio-circulatoire avant l’admission (âge >19), admissions directes, mortalité;Catetere diagnostico dei vasi coronarici senza DP infarto miocardico, OP al cuore o arresto cardiocircolatorio precedente l’ammissione (età >19), ammissioni dirette, mortalità;Diagnostic catheterization of coronary vessels without PD myocardial infarction, heart surgery or cardiovascular arrest before admission (age >19), direct admissions, mortality
A.3.5.M;Therapeutische Katheter der Koronargefässe ohne HD Herzinfarkt, OP am Herzen oder Herz-Kreislauf-Stillstand vor Aufnahme (Alter >19), Direktaufnahmen, Mortalität;Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde, OP du cœur ou arrêt cardio-circulatoire avant l’admission (âge >19), admissions directes, mortalité;Catetere terapeutico dei vasi coronarici senza DP infarto miocardico, OP al cuore o arresto cardiocircolatorio precedente l’ammissione (età >19), ammissioni dirette, mortalità;Therapeutic catheterization of coronary vessels without PD myocardial infarction, heart surgery or cardiovascular arrest before admission (age >19), direct admissions, mortality
A.3.7.M;Diagnostische Katheter der Koronargefässe ohne HD Herzinfarkt ohne weitere OP (Alter >19), Mortalität;Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité;Catetere diagnostico dei vasi coronarici senza DP infarto miocardico senza altre OP (età >19), mortalità;Diagnostic catheterization of coronary vessels without PD myocardial infarction and without further surgery (age >19), mortality
A.3.8.M;Therapeutische Katheter der Koronargefässe ohne HD Herzinfarkt ohne weitere OP (Alter >19), Mortalität;Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans autre OP (âge >19), mortalité;Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza altre OP (età >19), mortalità;Therapeutic catheterization of coronary vessels without PD myocardial infarction and without further surgery (age >19), mortality
A.3.9.M;Katheter der Koronargefässe bei HD Herzinfarkt ohne OP am Herzen (Alter >19), Zuverlegungen, Mortalität;Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur (âge >19), transféré d'un autre hôpital, mortalité;Catetere dei vasi coronarici con DP infarto miocardico senza OP al cuore (età >19), trasferito da un altro ospedale, mortalità;Catheterization of coronary vessels in cases with PD myocardial infarction without heart surgery (age >19), transferred from another hospital, mortality
A.6.3.M;Kathetergestützte Vorhofablation bei Vorhofflimmern/­flattern, Mortalität - SE;Ablation par cathéter de l'oreillette en cas de fibrillation auriculaire/de flutter auriculaire, mortalité - SE;Ablazione atriale supportata da catetere in caso di fibrillazione/flutter atriale, mortalità - SE;Catheter-based atrial ablation for atrial fibrillation/flutter, mortality - SE
A.7.10.M;Aortenklappenersatz minimalinvasiv transapikal, Mortalität;Remplacement de valve aortique mini­invasive par voie transapicale, mortalité;Sostituzione mini-invasiva transapicale della valvola aortica, mortalità;Minimally invasive aortic valve replacement by transapical approach, mortality
A.7.11.M;Isolierte OP an Koronargefässen bei HD Herzinfarkt (Alter >19), Mortalität;OP isolée des vaisseaux coronaires, en cas de DP infarctus du myocarde (âge >19), mortalité;OP isolata ai vasi coronarici con DP infarto miocardico (età >19), mortalità;Isolated surgery on coronary vessels in cases with PD myocardial infarction (age >19), mortality
A.7.12.M;Isolierte OP an Koronargefässen ohne HD Herzinfarkt (Alter >19), Mortalität;OP isolée des vaisseaux coronaires, sans DP infarctus du myocarde (âge >19), mortalité;OP isolata ai vasi coronarici senza DP infarto miocardico (età >19), mortalità;Isolated surgery on coronary vessels without PD myocardial infarction (age >19), mortality
A.7.13.M;Isolierte OP an Koronargefässen ohne HD Herzinfarkt, Alter 20-49, Mortalität;OP isolée des vaisseaux coronaires, sans DP infarctus du myocarde, âge 20-49, mortalité;OP isolata ai vasi coronarici senza DP infarto miocardico, età 20-49, mortalità;Isolated surgery on coronary vessels without PD myocardial infarction, age 20-49, mortality
A.7.14.M;Isolierte OP an Koronargefässen ohne HD Herzinfarkt, Alter 50-59, Mortalität;OP isolée des vaisseaux coronaires, sans DP infarctus du myocarde, âge 50-59, mortalité;OP isolata ai vasi coronarici senza DP infarto miocardico, età 50-59, mortalità;Isolated surgery on coronary vessels without PD myocardial infarction, age 50-59, mortality
A.7.15.M;Isolierte OP an Koronargefässen ohne HD Herzinfarkt, Alter 60-69, Mortalität;OP isolée des vaisseaux coronaires, sans DP infarctus du myocarde, âge 60-69, mortalité;OP isolata ai vasi coronarici senza DP infarto miocardico, età 60-69, mortalità;Isolated surgery on coronary vessels without PD myocardial infarction, age 60-69, mortality
A.7.16.M;Isolierte OP an Koronargefässen ohne HD Herzinfarkt, Alter 70-79, Mortalität;OP isolée des vaisseaux coronaires, sans DP infarctus du myocarde, âge 70-79, mortalité;OP isolata ai vasi coronarici senza DP infarto miocardico, età 70-79, mortalità;Isolated surgery on coronary vessels without PD myocardial infarction, age 70-79, mortality
A.7.17.M;Isolierte OP an Koronargefässen ohne HD Herzinfarkt, Alter >79, Mortalität;OP isolée des vaisseaux coronaires, sans DP infarctus du myocarde, âge >79, mortalité;OP isolata ai vasi coronarici senza DP infarto miocardico, età >79, mortalità;Isolated surgery on coronary vessels without PD myocardial infarction, age >79, mortality
A.7.23.M;Mitral- oder Trikuspidalklappen-Eingriff - TEER, Mortalität;Intervention sur la valve mitrale ou tricuspide - réparation transcathéter bord à bord  (TEER), mortalité;Interventi sulla valvola mitrale o tricuspide - riparazione mediante tecnica TEER (transcatheter edge-to-edge repair), mortalità;Mitral or tricuspid valve intervention - transcatheter edge-to-edge repair (TEER), mortality
A.7.26.M;Offener Aortenklappenersatz mit Mitralklappenersatz (Alter >19), Mortalität;Remplacement de valve aortique à cœur ouvert avec remplacement de valve mitrale (âge >19), mortalité;Sostituzione della valvola aortica a cuore aperto con sostituzione della valvola mitrale (età >19), mortalità;Open aortic valve replacement with mitral valve replacement (age >19), mortality
A.7.27.M;Offener Aortenklappenersatz mit weiterer OP am Herzen (Alter >19), Mortalität;Remplacement de valve aortique à cœur ouvert avec autre OP du cœur (âge >19), mortalité;Sostituzione della valvola aortica a cuore aperto con altre OP al cuore (età >19), mortalità;Open aortic valve replacement with other heart surgery (age >19), mortality
A.7.28.M;Isolierte OP an Koronargefässen bei HD Herzinfarkt ohne herzunterstützende Systeme (Alter >19), Mortalität;OP isolée des vaisseaux coronaires, en cas de DP infarctus du myocarde sans systèmes d'assistance cardiaque (âge >19), mortalité;OP isolata ai vasi coronarici con DP infarto miocardico senza sistemi di assistenza cardiaca (età >19), mortalità;Isolated surgery on coronary vessels in cases with PD myocardial infarction without cardiac support systems (age >19), mortality
A.7.29.M;OP an Koronargefässen mit weiterer OP am Herzen (Alter >19), Mortalität;OP des vaisseaux coronaires avec autre OP du cœur (âge >19), mortalité;OP ai vasi coronarici con altre OP al cuore (età >19), mortalità;Surgery on coronary vessels with other heart surgery (age >19), mortality
A.7.30.M;Isolierter offener Aortenklappenersatz ohne HD Endokarditis und ohne synchrone LVAD-Implantation (Alter >19), Mortalität;Remplacement isolé de valve aortique à cœur ouvert sans DP endocardite et sans implantation synchrone de LVAD (âge >19), mortalité;Sostituzione isolata della valvola aortica a cuore aperto senza DP endocardite e senza impianto sincrono di LVAD (età >19), mortalità;Isolated open aortic valve replacement without PD endocarditis and without simultaneous LVAD implantation (age >19), mortality
A.7.31.M;Isolierter offener Aortenklappenersatz mit HD Endokarditis (Alter >19), Mortalität;Remplacement isolé de valve aortique à cœur ouvert avec DP endocardite (âge >19), mortalité;Sostituzione isolata della valvola aortica a cuore aperto con DP endocardite (età >19), mortalità;Isolated open aortic valve replacement with PD endocarditis (age >19), mortality
A.7.32.M;Isolierter offener Aortenklappenersatz mit synchroner LVAD-Implantation (Alter >19), Mortalität;Remplacement isolé de valve aortique à cœur ouvert avec implantation synchrone de LVAD (âge >19), mortalité;Sostituzione isolata della valvola aortica a cuore aperto con impianto sincrono di LVAD (età >19), mortalità;Isolated open aortic valve replacement with simultaneous LVAD implantation (age >19), mortality
A.7.8.M;Aortenklappenersatz minimalinvasiv, Mortalität;Remplacement de valve aortique mini­invasive, mortalité;Sostituzione mini-invasiva della valvola aortica, mortalità;Minimally invasive aortic valve replacement, mortality
A.7.9.M;Aortenklappenersatz minimalinvasiv endovaskulär, Mortalität;Remplacement de valve aortique mini­invasive par voie endovasculaire, mortalité;Sostituzione mini-invasiva endovascolare della valvola aortica, mortalità;Minimally invasive aortic valve replacement by endovascular approach, mortality
B.1.1.M;HD Schlaganfall ohne Tumor oder Kopfverletzung (Alter >19), Mortalität;DP accident vasculaire cérébral sans tumeur ou traumatisme crânien (âge >19), mortalité;DP ictus senza tumore o trauma cranico (età >19), mortalità;PD stroke without tumor or head injury (age >19), mortality
B.1.10.M;HD intrazerebrale Blutung ohne Tumor oder Kopfverletzung (Alter >19), Mortalität;DP hémorragie intracérébrale sans tumeur ou traumatisme crânien (âge >19), mortalité;DP emorragia intracerebrale senza tumore o trauma cranico (età >19), mortalità;PD intracerebral hemorrhage without tumor or head injury (age >19), mortality
B.1.11.M;HD Subarachnoidalblutung (Alter >19), Mortalität;DP hémorragie sous­arachnoïdienne (âge >19), mortalité;DP emorragia subaracnoidea (età >19), mortalità;PD subarachnoid hemorrhage (age >19), mortality
B.1.12.M;HD Schlaganfall nicht näher bezeichnet (ICD­10 I64) (Alter >19), Mortalität;DP accident vasculaire cérébral sans précision (CIM­10 I64) (âge >19), mortalité;DP ictus non altrimenti specificato (ICD­10 I64) (età >19), mortalità;PD unspecified stroke (ICD-10 I64) (age >19), mortality
B.1.13.M;HD Hirninfarkt (Alter >19), Zuverlegungen, Mortalität;DP infarctus cérébral (âge >19), transféré d'un autre hôpital, mortalité;DP infarto cerebrale (età >19), trasferito da un altro ospedale, mortalità;PD cerebral infarction (age >19), transferred from another hospital, mortality
B.1.14.M;HD Hirninfarkt mit Pneumonie (ohne vorbestehende) (Alter >19), Mortalität;DP infarctus cérébral avec pneumonie (sans préexistante) (âge >19), mortalité;DP infarto cerebrale con polmonite (senza preesistente), mortalità;PD cerebral infarction with pneumonia (not pre-existing) (age >19), mortality
B.1.18.M;HD Hirninfarkt mit intrakranieller Thrombektomie (Alter >19), Mortalität;DP infarctus cérébral avec thrombectomie intracrânienne (âge >19), mortalité;DP infarto cerebrale con trombectomia intracranica (età >19), mortalità;PD cerebral infarction with intracranial thrombectomy (age >19), mortality
B.1.2.M;HD Schlaganfall ohne Tumor oder Kopfverletzung, Alter 20-44, Mortalität;DP accident vasculaire cérébral sans tumeur ou traumatisme crânien, âge 20-44, mortalité;DP ictus senza tumore o trauma cranico, età 20-44, mortalità;PD stroke without tumor or head injury, age 20-44, mortality
B.1.21.M;HD Hirninfarkt mit intrakranieller Thrombektomie, Alter 20-69, Mortalität;DP infarctus cérébral avec thrombectomie intracrânienne, âge 20-69, mortalité;DP infarto cerebrale con trombectomia intracranica, età 20-69, mortalità;PD cerebral infarction with intracranial thrombectomy, age 20-69, mortality
B.1.22.M;HD Hirninfarkt mit intrakranieller Thrombektomie, Alter 70-79, Mortalität;DP infarctus cérébral avec thrombectomie intracrânienne, âge 70-79, mortalité;DP infarto cerebrale con trombectomia intracranica, età 70-79, mortalità;PD cerebral infarction with intracranial thrombectomy, age 70-79, mortality
B.1.23.M;HD Hirninfarkt mit intrakranieller Thrombektomie, Alter 80-89, Mortalität;DP infarctus cérébral avec thrombectomie intracrânienne, âge 80-89, mortalité;DP infarto cerebrale con trombectomia intracranica, età 80-89, mortalità;PD cerebral infarction with intracranial thrombectomy, age 80-89, mortality
B.1.24.M;HD Hirninfarkt mit intrakranieller Thrombektomie, Alter >89, Mortalität;DP infarctus cérébral avec thrombectomie intracrânienne, âge >89, mortalité;DP infarto cerebrale con trombectomia intracranica, età >89, mortalità;PD cerebral infarction with intracranial thrombectomy, age >89, mortality
B.1.25.M;HD TIA ohne Tumor oder Kopfverletzung (Alter >19), Mortalität - SE;DP AIT sans tumeur ou traumatisme crânien (âge >19), mortalité - SE;DP TIA senza tumore o trauma cranico (età >19), mortalità - SE;PD TIA without tumor or head injury (age >19), mortality - SE
B.1.26.M;HD Hirninfarkt oder intrazerebrale Blutung bei Tumor oder Kopfverletzung (Alter >19), Mortalität;DP infarctus cérébral ou hémorragie intracérébrale avec tumeur ou traumatisme crânien (âge >19), mortalité;DP infarto cerebrale o emorragia intracerebrale con tumore o trauma cranico (età >19), mortalità;PD cerebral infarction or intracerebral hemorrhage with tumor or head injury (age >19), mortality
B.1.3.M;HD Schlaganfall ohne Tumor oder Kopfverletzung, Alter 45-64, Mortalität;DP accident vasculaire cérébral sans tumeur ou traumatisme crânien, âge 45-64, mortalité;DP ictus senza tumore o trauma cranico, età 45-64, mortalità;PD stroke without tumor or head injury, age 45-64, mortality
B.1.4.M;HD Schlaganfall ohne Tumor oder Kopfverletzung, Alter 65-84, Mortalität;DP accident vasculaire cérébral sans tumeur ou traumatisme crânien, âge 65-84, mortalité;DP ictus senza tumore o trauma cranico, età 65-84, mortalità;PD stroke without tumor or head injury, age 65-84, mortality
B.1.5.M;HD Schlaganfall ohne Tumor oder Kopfverletzung, Alter >84, Mortalität;DP accident vasculaire cérébral sans tumeur ou traumatisme crânien, âge >84, mortalité;DP ictus senza tumore o trauma cranico, età >84, mortalità;PD stroke without tumor or head injury, age >84, mortality
B.1.7.M;HD Hirninfarkt ohne Tumor oder Kopfverletzung (Alter >19), Mortalität;DP infarctus cérébral sans tumeur ou traumatisme crânien (âge >19), mortalité;DP infarto cerebrale senza tumore o trauma cranico (età >19), mortalità;PD cerebral infarction without tumor or head injury (age >19), mortality
B.1.7.MrG;HD Hirninfarkt ohne Tumor oder Kopfverletzung (Alter >19), Mortalität;DP infarctus cérébral sans tumeur ou traumatisme crânien (âge >19), mortalité;DP infarto cerebrale senza tumore o trauma cranico (età >19), mortalità;PD cerebral infarction without tumor or head injury (age >19), mortality
B.1.8.M;HD Hirninfarkt (Alter >19), Direktaufnahmen, Mortalität;DP infarctus cérébral (âge >19), admissions directes, mortalité;DP infarto cerebrale (età >19), ammissioni dirette, mortalità;PD cerebral infarction (age >19), direct admissions, mortality
B.1.9.M;HD Hirninfarkt ohne Tumor oder Kopfverletzung mit systemischer Thrombolyse (Alter >19), Direktaufnahmen, Mortalität;DP infarctus cérébral sans tumeur ou traumatisme crânien (âge >19) avec thrombolyse systémique, admissions directes, mortalité;DP infarto cerebrale senza tumore o trauma cranico (età >19) con trombolisi sistemica, ammissioni dirette, mortalità;PD cerebral infarction without tumor or head injury (age >19) with systemic thrombolysis, direct admissions, mortality
B.3.2.M;OP am Gehirn bei bösartigen Neubildungen, Mortalität;OP du cerveau en cas de tumeurs malignes, mortalité;OP al cervello in caso di tumori maligni, mortalità;Brain surgery for malignant neoplasms, mortality
D.1.1.M;HD Pneumonie, Mortalität;DP pneumonie, mortalité;DP polmonite, mortalità;PD pneumonia, mortality
D.1.10.M;HD Pneumonie ohne Tumor oder Mukoviszidose, Alter 45-64, Direktaufnahmen, Mortalität;DP pneumonie sans tumeur ni mucoviscidose, âge 45-64, admissions directes, mortalité;DP polmonite senza tumore o mucoviscidosi, età 45-64, ammissioni dirette, mortalità;PD pneumonia without tumor or cystic fibrosis, age 45-64, direct admissions, mortality
D.1.11.M;HD Pneumonie ohne Tumor oder Mukoviszidose, Alter 65-84, Direktaufnahmen, Mortalität;DP pneumonie sans tumeur ni mucoviscidose, âge 65-84, admissions directes, mortalité;DP polmonite senza tumore o mucoviscidosi, età 65-84, ammissioni dirette, mortalità;PD pneumonia without tumor or cystic fibrosis, age 65-84, direct admissions, mortality
D.1.12.M;HD Pneumonie ohne Tumor oder Mukoviszidose, Alter >84, Direktaufnahmen, Mortalität;DP pneumonie sans tumeur ni mucoviscidose, âge >84, admissions directes, mortalité;DP polmonite senza tumore o mucoviscidosi, età >84, ammissioni dirette, mortalità;PD pneumonia without tumor or cystic fibrosis, age >84, direct admissions, mortality
D.1.13.M;HD Aspirationspneumonie, Mortalität;DP pneumonie par aspiration, mortalité;DP polmonite da aspirazione, mortalità;PD aspiration pneumonia, mortality
D.1.14.M;HD Bronchitis/Bronchiolitis ohne Tumor oder Mukoviszidose (Alter >19), Direktaufnahmen, Mortalität;DP bronchite/bronchiolite sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;DP bronchite/bronchiolite senza tumore o mucoviscidosi (età >19), ammissioni dirette, mortalità;PD bronchitis/bronchiolitis without tumor or cystic fibrosis (age >19), direct admissions, mortality
D.1.15.M;HD Pneumonie ohne Tumor, Mukoviszidose oder COVID-19 (Alter >19), Direktaufnahmen, Mortalität;DP pneumonie sans tumeur, ni mucoviscidose, ni COVID-19 (âge >19), admissions directes, mortalité;DP polmonite senza tumore, mucoviscidosi o COVID-19 (età >19), ammissioni dirette, mortalità;PD pneumonia without tumor, cystic fibrosis or COVID-19 (age >19), direct admissions, mortality
D.1.15.MrG;HD Pneumonie ohne Tumor, Mukoviszidose oder COVID-19 (Alter >19), Direktaufnahmen, Mortalität;DP pneumonie sans tumeur, ni mucoviscidose, ni COVID-19 (âge >19), admissions directes, mortalité;DP polmonite senza tumore, mucoviscidosi o COVID-19 (età >19), ammissioni dirette, mortalità;PD pneumonia without tumor, cystic fibrosis or COVID-19 (age >19), direct admissions, mortality
D.1.16.M;Nosokomiale Pneumonie ohne Tumor oder Mukoviszidose (Alter >19), Direktaufnahmen, Mortalität;Pneumonie nosocomiale sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;Polmonite nosocomiale senza tumore o mucoviscidosi (età >19), ammissioni dirette, mortalità;Nosocomial pneumonia without tumor or cystic fibrosis (age >19), direct admissions, mortality
D.1.17.M;Beatmungen >24h bei nosokomialer Pneumonie, ohne Tumor oder Mukoviszidose (Alter >19), Direktaufnahmen, Mortalität;Respiration artificielle >24 h en cas de pneumonie nosocomiale, sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;Ventilazione meccanica >24h in caso di polmonite nosocomiale, senza tumore o mucoviscidosi (età >19), ammissioni dirette, mortalità;Mechanical ventilation >24 h in cases with nosocomial pneumonia, without tumor or cystic fibrosis (age >19), direct admissions, mortality
D.1.18.M;COVID-19-Fälle mit labordiagnostischem Virusnachweis, Mortalität;Cas de COVID-19 avec mise en évidence du virus en laboratoire, mortalité;Casi di COVID-19 con rilevamento del virus mediante analisi di laboratorio, mortalità;COVID-19 cases with laboratory-confirmed viral detection, mortality
D.1.19.M;COVID-19-Fälle mit SARI, Mortalität;Cas de COVID-19 avec SARI, mortalité;Casi di COVID-19 con SARI, mortalità;COVID-19 cases with SARI, mortality
D.1.2.M;HD Pneumonie, Alter <20, Mortalität - SE;DP pneumonie, âge <20, mortalité - SE;DP polmonite, età <20, mortalità - SE;PD pneumonia, age <20, mortality - SE
D.1.20.M;HD Pneumonie mit COVID-19, ohne Tumor oder Mukoviszidose (Alter >19), Direktaufnahmen, Mortalität;DP pneumonie avec COVID-19, sans tumeur, ni mucoviscidose (âge >19), admissions directes, mortalité;DP polmonite con COVID-19, senza tumore o mucoviscidosi (età >19), ammissioni dirette, mortalità;PD pneumonia with COVID-19, without tumor or cystic fibrosis (age >19), direct admissions, mortality
D.1.3.M;HD Pneumonie, Alter 20-44, Mortalität;DP pneumonie, âge 20-44, mortalité;DP polmonite, età 20-44, mortalità;PD pneumonia, age 20-44, mortality
D.1.4.M;HD Pneumonie, Alter 45-64, Mortalität;DP pneumonie, âge 45-64, mortalité;DP polmonite, età 45-64, mortalità;PD pneumonia, age 45-64, mortality
D.1.5.M;HD Pneumonie, Alter 65-84, Mortalität;DP pneumonie, âge 65-84, mortalité;DP polmonite, età 65-84, mortalità;PD pneumonia, age 65-84, mortality
D.1.6.M;HD Pneumonie, Alter >84, Mortalität;DP pneumonie, âge >84, mortalité;DP polmonite, età >84, mortalità;PD pneumonia, age >84, mortality
