code;description_de;description_fr;description_it;description_en
I.4.1.F;HD bösartige Neubildungen von Knochen, Gelenkknorpel, peripheren Nerven, Retroperitoneum, Bindegewebe, Weichteilen;DP tumeurs malignes des os, du cartilage articulaire, des nerfs périphériques, du rétropéritoine, du tissu conjonctif, des tissus mous;DP tumori maligni delle ossa, della cartilagine articolare, dei nervi periferici, del retroperitoneo, del tessuto connettivo e dei tessuti molli;Primary diagnosis: malignant neoplasms of bone, cartilage, nerves, retroperitoneum, connective or soft tissue
I.5.1.F;Endoprothese am Schulter-/Ellenbogengelenk;Endoprothèse à l’articulation de l’épaule/du coude;Endoprotesi all'articolazione della spalla/del gomito;Endoprosthesis of shoulder/elbow joint
I.6.1.F;Polytrauma im Sinne der DRG-Definition;Traumatisme multiple au sens de la définition DRG;Politrauma ai sensi della definizione DRG;Polytrauma according to DRG definition
J.1.7.F;ECMO-Lungenunterstützung;Assistance pulmonaire ECMO;Assistenza respiratoria ECMO;ECMO – lung support
J.1.8.F;ECLS/ECMO-Herz-/Herz-Lungenunterstützung;Assistance cardio/cardio-pulmonaire ECLS/ECMO;Assistenza cardiaca/cardiopolmonare ECLS/ECMO;ECLS/ECMO – cardiac or cardiopulmonary support
J.3.2.F;Patienten mit angeborenen Gerinnungsstörungen;Patients avec des troubles congénitaux de la coagulation;Pazienti con disturbi della coagulazione congeniti;Patients with congenital coagulation disorders
J.3.3.F;Operierte Patienten mit angeborenen Gerinnungsstörungen;Patients opérés avec des troubles congénitaux de la coagulation;Pazienti operati con disturbi della coagulazione congeniti;Operated patients with congenital coagulation disorders
K.1.1.F;Stationäre Behandlungen wegen HD Melanom;Traitements hospitaliers en cas de DP mélanome;Cure ospedaliere in caso di DP melanoma;Inpatient treatment for melanoma
K.1.2.F;Stationäre Behandlungen wegen HD Dermatitis und Ekzem;Traitements hospitaliers en cas de DP dermatoses et eczémas;Cure ospedaliere in caso di DP dermatite ed eczema;Inpatient treatment for dermatitis and eczema
K.1.3.F;Stationäre Behandlungen wegen HD Psoriasis;Traitements hospitaliers en cas de DP psoriasis;Cure ospedaliere in caso di DP psoriasi;Inpatient treatment for psoriasis
L.1.1.F;Herz­ und Herz­Lungen­Transplantation insgesamt;Total des transplantations cardiaques et transplantations combinées cœur­poumons;Trapianti di cuore e trapianti combinati cuore­polmone, totale;Heart and heart-lung transplantation overall
L.1.2.F;Herz­Lungen­Transplantation;Transplantation combinée cœur­poumons;Trapianto combinato cuore­polmone;Heart-lung transplantation
L.1.3.F;Herztransplantation;Transplantation cardiaque;Trapianto di cuore;Heart transplantation
L.2.1.F;Lungen­ und Herz­Lungen­Transplantation insgesamt;Total des transplantations pulmonaires et transplantations combinées cœur­poumons;Trapianti di polmone e trapianti combinati cuore­polmone, totale;Lung and heart-lung transplantation overall
L.2.2.F;Lungentransplantation;Transplantation pulmonaire;Trapianto di polmone;Lung transplantation
L.3.1.F;Lebertransplantation insgesamt;Total des transplantations hépatiques;Trapianti di fegato, totale;Liver transplantation overall
L.3.2.F;Lebertransplantation, komplett;Transplantation hépatique, foie entier;Trapianto di fegato, organo intero;Liver transplantation, complete
L.3.3.F;Lebertransplantation, partiell/auxiliär/andere;Transplantation hépatique, foie partiel/auxiliaire/autre;Trapianto di fegato parziale/ausiliario/altro;Liver transplantation, partial/auxiliary/other
L.3.4.F;Leber­Retransplantation im gleichen Aufenthalt, alle Formen;Retransplantation de foie durant la même hospitalisation, toutes les formes;Ritrapianto di fegato nella stessa degenza ospedaliera, tutte le forme;Liver retransplantation during same hospital stay, all forms
L.4.1.F;Transplantation von Pankreas oder ­gewebe insgesamt;Total des transplantations du pancréas ou de tissu pancréatique;Trapienti di pancreas o di tessuto pancreatico, totale;Pancreas or pancreatic tissue transplantation overall
L.5.1.F;Nierentransplantation insgesamt;Total des transplantations rénales;Trapianti di rene, totale;Kidney transplantation overall
L.5.2.F;Nierentransplantation, Lebendspender allogen, syngen;Transplantation rénale, donneur vivant allogénique, syngénique;Trapianto di rene da donatore vivente allogenico, singenico;Kidney transplantation, living donor allogeneic, syngeneic
L.5.3.F;Nierentransplantation, allogen, Leichenniere;Transplantation rénale, allogénique, rein d'un cadavre;Trapianto di rene, allogenico, rene da un cadavere;Kidney transplantation, allogeneic, deceased donor
L.5.4.F;Nierentransplantation, Autotransplantation und andere;Transplantation rénale, autogreffe et autre;Trapianto di rene, autotrapianto e altro;Kidney transplantation, autotransplantation and others
L.5.5.F;Kombinierte Transplantation von Niere und Pankreas;Transplantation combinée de rein et pancréas;Trapianto combinato di rene e pancreas;Combined kidney and pancreas transplantation
L.5.6.F;Nieren-Retransplantation während desselben stationären Aufenthaltes;Retransplantation rénale durant la même hospitalisation;Ritrapianto di rene nella stessa degenza ospedaliera;Kidney retransplantation during same hospital stay
L.6.1.F;Transplantation oder Transfusion von hämatopoetischen Stammzellen insgesamt;Total des transplantations ou transfusions de cellules souches hématopoïétiques;Trapianti o trasfusioni di cellule staminali ematopoietiche, totale;Transplantation or transfusion of hematopoietic stem cells overall
L.6.2.F;Transplantation von hämatopoetischen Stammzellen aus Knochenmark insgesamt;Total des transplantations de cellules souches hématopoïétiques de moelle osseuse;Trapianti di cellule staminali ematopoietiche di midollo osseo, totale;Bone marrow–derived hematopoietic stem cell transplantation overall
L.6.3.F;Transplantation von hämatopoetischen Stammzellen aus Knochenmark, autogen;Transplantation de cellules souches hématopoïétiques de moelle osseuse, autogène;Trapianto di cellule staminali ematopoietiche di midollo osseo, autogeno;Bone marrow–derived hematopoietic stem cell transplantation, autologous
L.6.4.F;Transfusion von peripheren hämatopoetischen Stammzellen;Transfusion de cellules souches hématopoïétiques périphériques;Trasfusione di cellule staminali ematopoietiche periferiche;Transfusion of peripheral hematopoietic stem cells
L.6.5.F;Transfusion von peripheren hämatopoetischen Stammzellen, autogen;Transfusion de cellules souches hématopoïétiques périphériques, autogène;Trasfusione di cellule staminali ematopoietiche periferiche, autogeno;Transfusion of peripheral hematopoietic stem cells, autologous
L.6.8.F;Andere Stammzelltherapien;Autres thérapies de cellules souches;Altre terapie con cellule staminali;Other stem cell therapies
L.7.1.F;Hypertherme intraperitoneale Chemotherapie [HIPEC];Chimiothérapie intrapéritonéale hyperthermique [HIPEC];Chemioipertermia intraperitoneale [HIPEC];Hyperthermic intraperitoneal chemotherapy (HIPEC)
L.7.2.F;Hypertherme intrathorakale Chemotherapie [HITOC];Chimiothérapie hyperthermique intrathoracique [HITOC];Chemioipertermia intratoracica [HITOC];Hyperthermic intrathoracic chemotherapy (HITOC)
M.1.1.F;Palliativmedizinische Komplexbehandlung;Traitement complexe de médecine palliative;Trattamento medico palliativo complesso;Complex palliative care treatment
M.1.2.F;Palliativmedizinische Komplexbehandlung durch Palliativ-Dienst (intern und extern);Traitement complexe de médecine palliative par une équipe de soins palliatifs (interne et externe);Trattamento medico palliativo complesso eseguito dal servizio palliativo (interno ed esterno);Complex palliative care by palliative service (internal and external)
N.1.1.F;Roboterchirurgie bei urologischen Index-Eingriffen;Chirurgie robotisée en cas d’interventions index urologiques;Chirurgia robotica in caso di interventi secondo l'indice urologico;Robotic surgery for urological index procedures
Z.4.1.F;Dermatologische Onkologie;Oncologie dermatologique;Dermatologia oncologica;Dermatologic oncology
Z.4.10.F;Zerebrovaskuläre Störungen im Stroke Center (IVHSM);Traitement des accidents vasculaires cérébraux en Stroke Center (CIMHS);Malattie cerebrovascolari presso Stroke Center (CIMAS);Cerebrovascular disorders in stroke center (IVHSM)
Z.4.11.F;Epileptologie: Komplex-Diagnostik;Epileptologie : diagnostic complexe;Epilettologia: diagnostica complessa;Epileptology: complex diagnostics
Z.4.12.F;Epileptologie: Komplex-Behandlung;Epileptologie : traitement complexe;Epilettologia: trattamento complesso;Epileptology: complex treatment
Z.4.13.F;Grosse Pankreaseingriffe (IVHSM);Chirurgie pancréatique lourde (CIMHS);Chirurgia pancreatica maggiore (CIMAS);Major pancreatic surgery (IVHSM)
Z.4.14.F;Grosse Lebereingriffe (IVHSM);Résection hépatique lourde (CIMHS);Chirurgia epatica maggiore (CIMAS);Major liver surgery (IVHSM)
Z.4.15.F;Oesophaguschirurgie (IVHSM);Résections œsophagiennes (CIMHS);Chirurgia esofagea (CIMAS);Esophageal surgery (IVHSM)
Z.4.16.F;Spezialisierte Bariatrische Chirurgie (IVHSM);Chirurgie bariatrique complexe (CIMHS);Chirurgia bariatrica specializzata (CIMAS);Specialized bariatric surgery (IVHSM)
Z.4.17.F;Tiefe Rektumeingriffe (IVHSM);Résection rectale profonde (CIMHS);Chirurgia rettale bassa (CIMAS);Deep rectal surgery (IVHSM)
Z.4.18.F;Hoch-aggressive Lymphome und akute Leukämien mit kurativer Chemotherapie;Lymphomes très agressifs et leucémies aiguës avec chimiothérapie curative;Linfomi altamente aggressivi e leucemie acute con chemioterapia curativa;High-aggressive lymphomas and acute leukemias with curative chemotherapy
Z.4.19.F;Autologe Blutstammzelltransplantation;Transplantation de cellules souches hématopoïétiques autologues;Trapianto autologo di cellule staminali ematopoietiche;Autologous blood stem cell transplantation
Z.4.2.F;Cochlea Implantate (IVHSM);Implants cochléaires (CIMHS);Impianti cocleari (CIMAS);Cochlear implants (IVHSM)
Z.4.20.F;Allogene Blutstammzelltransplantation (IVHSM);Transplantation de cellules souches hématopoïétiques allogéniques (CIMHS);Trapianto allogenico di cellule staminali ematopaietiche (CIMAS);Allogeneic blood stem cell transplantation (IVHSM)
Z.4.21.F;Gefässchirurgie periphere Gefässe (arteriell);Chirurgie vasculaire périphérique (artérielle);Chirurgia vascolare dei vasi periferici (arteriosi);Peripheral vascular surgery (arterial)
Z.4.22.F;Interventionen und Gefässchirurgie intraabdominale Gefässe;Interventions et chirurgie vasculaire sur les vaisseaux intra-abdominaux;Interventi e chirurgia vascolare dei vasi intra-addominali;Interventions and vascular surgery of intra-abdominal vessels
Z.4.23.F;Gefässchirurgie Carotis;Chirurgie carotidienne;Chirurgia della carotide;Carotid vascular surgery
Z.4.24.F;Interventionen Carotis und extrakranielle Gefässe;Interventions sur la carotide et les vaisseaux extracrâniens;Interventi alla carotide e ai vasi extracranici;Carotid and extracranial vessel interventions
Z.4.25.F;Koronarchirurgie (CABG);Chirurgie coronarienne (PAC);Chirurgia coronarica (BPAC);Coronary artery bypass surgery (CABG)
Z.4.26.F;Komplexe kongenitale Herzchirurgie;Chirurgie cardiaque congénitale complexe;Cardiochirurgia congenita complessa;Complex congenital heart surgery
Z.4.27.F;Interventionelle Kardiologie (Spezialeingriffe);Cardiologie interventionnelle (interventions spéciales);Cardiologia interventistica (interventi speciali);Interventional cardiology (special procedures)
Z.4.28.F;Radikale Prostatektomie;Prostatectomie radicale;Prostatectomia radicale;Radical prostatectomy
Z.4.29.F;Radikale Zystektomie;Cystectomie radicale;Cistectomia radicale;Radical cystectomy
Z.4.3.F;Schild- und Nebenschilddrüsenchirurgie;Chirurgie de la thyroïde et des parathyroïdes;Chirurgia della tiroide e delle parotidi;Thyroid and parathyroid surgery
Z.4.30.F;Komplexe Chirurgie der Niere (Tumornephrektomie und Nierenteilsektion);Chirurgie complexe des reins (néphrectomie pour tumeur et résection partielle du rein);Chirurgia complessa dei reni (Nefrectomia per indicazione oncologica e nefrectomia parziale);Complex kidney surgery (tumor nephrectomy and partial nephrectomy)
Z.4.31.F;Maligne Neoplasien des Atmungssystems (kurative Resektion durch Lobektomie/Pneumonektomie);Cancers du système respiratoire (résection curative par lobectomie/pneumonectomie);Neoplasie maligne del sistema respiratorio (resezione curativa);Malignant neoplasms of respiratory system (curative resection by lobectomy/pneumonectomy)
Z.4.32.F;Herztransplantation (IVHSM);Transplantation cardiaque (CIMHS);Trapianto cardiaco (CIMAS);Heart transplantation (IVHSM)
Z.4.33.F;Lungentransplantation (IVHSM);Transplantation pulmonaire (CIMHS);Trapianto polmonare (CIMAS);Lung transplantation (IVHSM)
Z.4.34.F;Lebertransplantation (IVHSM);Transplantation hépatique (CIMHS);Trapianto epatico (CIMAS);Liver transplantation (IVHSM)
Z.4.35.F;Pankreastransplantation (IVHSM);Transplantation pancréatique (CIMHS);Trapianto pancreatico (CIMAS);Pancreas transplantation (IVHSM)
Z.4.36.F;Nierentransplantation (IVHSM);Transplantation rénale CIMHS);Trapianto renale (CIMAS);Kidney transplantation (IVHSM)
Z.4.37.F;Erstprothese Hüfte;Prothèses de hanche de première intention;Prima protesi all'anca;Primary hip prosthesis
Z.4.38.F;Erstprothese Knie;Prothèses du genou de première intention;Prima protesi al ginocchio;Primary knee prosthesis
Z.4.39.F;Spezialisierte Wirbelsäulenchirurgie;Chirurgie spécialisée du rachis;Chirurgia specialistica della colonna vertebrale;Specialized spine surgery
Z.4.4.F;Spezialisierte Neurochirurgie;Neurochirurgie spécialisée;Neurochirurgia specializzata;Specialized neurosurgery
Z.4.40.F;Knochentumore;Tumeurs osseuses;Tumori ossei;Bone tumors
Z.4.41.F;Plexuschirurgie;Chirurgie du plexus;Chirurgia del plesso;Plexus surgery
Z.4.42.F;Gynäkologische Tumore;Tumeurs gynécologiques;Tumori ginecologici;Gynecological tumors
Z.4.43.F;Anerkanntes zertifiziertes Brustzentrum;Centre de sénologie certifié reconnu;Centro certificato di senologia riconosciuto;Certified breast center
Z.4.44.F;Geburtshilfe (ab GA 32 0/7 SSW und GG 1250g);Obstétrique (à partir de AG 32 0/7 SA et PN 1250g);Ostetricia (dalla 32 settimana di gestazione e >1249g);Obstetrics (from 32+0/7 weeks GA and 1250 g birth weight)
Z.4.45.F;Ausgedehnte Verbrennungen (IVHSM);Brûlures étendues (CIMHS);Ustioni (CIMAS);Extensive burns (IVHSM)
Z.4.5.F;Behandlungen von vaskulären Erkrankungen des ZNS ohne die komplexen vaskulären Anomalien (IVHSM);Traitement des pathologies vasculaires du SNC hormis les anomalies vasculaires complexes (CIMHS);Trattamento di patologie vascolari del SNC senza le anomalie vascolari complesse (CIMAS);Treatment of vascular CNS diseases excluding complex vascular anomalies (IVHSM)
Z.4.6.F;Behandlungen von komplexen vaskulären Anomalien des ZNS (IVHSM);Traitement des anomalies vasculaires complexes du SNC (CIMHS);Trattamento di anomalie vascolari complesse del SNC (CIMAS);Treatment of complex vascular CNS anomalies (IVHSM)
Z.4.7.F;Stereotaktische funktionelle Neurochirurgie (IVHSM);Neurochirurgie stéréotaxique fonctionnelle (CIMHS);Neurochirurgia stereotassica funzionale (CIMAS);Stereotactic functional neurosurgery (IVHSM)
Z.4.8.F;Epilepsiechirurgie (IVHSM);Chirurgie de l’épilepsie (CIMHS);Chirurgia dell'epilessia (CIMAS);Epilepsy surgery (IVHSM)
